Date,Open,High,Low,Close,Adj Close,Volume
1999-10-21,93.000000,93.000000,89.000000,91.000000,59.244934,69444700
1999-10-22,93.750000,94.625000,92.500000,93.937500,61.157372,26668700
1999-10-25,94.250000,95.125000,92.125000,93.875000,61.116718,13765400
1999-10-26,94.875000,96.000000,94.625000,95.500000,62.174664,11367400
1999-10-27,95.500000,95.562500,92.812500,93.000000,60.547047,9871400
1999-10-28,94.500000,95.312500,94.250000,94.937500,61.808449,9446700
1999-10-29,97.000000,99.000000,96.250000,98.250000,63.965034,11078500
1999-11-01,98.500000,98.812500,96.375000,96.750000,62.988483,9551800
1999-11-02,96.750000,96.812500,93.687500,94.812500,61.727055,11105400
1999-11-03,95.875000,95.937500,93.500000,94.375000,61.442219,10369100
1999-11-04,94.437500,94.437500,90.000000,91.562500,59.611145,16697600
1999-11-05,92.750000,92.937500,90.187500,90.250000,58.756668,13737600
1999-11-08,90.500000,93.937500,90.500000,93.937500,61.238808,8522300
1999-11-09,95.062500,95.500000,92.125000,93.625000,61.035084,9551200
1999-11-10,94.625000,97.062500,94.125000,97.000000,63.235291,8680300
1999-11-11,97.500000,97.500000,94.875000,95.000000,61.931450,7147500
1999-11-12,96.000000,96.250000,93.000000,95.875000,62.501907,9668400
1999-11-15,96.000000,96.375000,93.875000,94.062500,61.320328,6259400
1999-11-16,94.625000,95.000000,93.000000,94.625000,61.687016,8537400
1999-11-17,94.875000,94.875000,92.625000,93.750000,61.116600,8355100
1999-11-18,94.000000,98.250000,93.562500,98.000000,63.887222,18720500
1999-11-19,99.000000,105.125000,98.375000,103.937500,67.757919,19678400
1999-11-22,105.500000,108.437500,104.437500,107.875000,70.324799,13681600
1999-11-23,108.812500,109.875000,106.000000,106.062500,69.143227,10665200
1999-11-24,105.000000,105.000000,101.812500,104.500000,68.124626,9710400
1999-11-26,105.937500,106.000000,104.125000,105.000000,68.450592,3108400
1999-11-29,104.937500,104.937500,103.375000,104.187500,67.920898,5677700
1999-11-30,103.687500,104.500000,102.125000,103.062500,67.187515,5758700
1999-12-01,102.562500,104.437500,102.250000,103.421875,67.421783,5336400
1999-12-02,103.437500,106.312500,103.375000,105.265625,68.623749,6216900
1999-12-03,109.812500,112.875000,107.937500,111.875000,72.932457,14680300
1999-12-06,113.000000,116.500000,112.500000,116.000000,75.621590,9928300
1999-12-07,117.000000,119.187500,115.437500,116.625000,76.029045,11326100
1999-12-08,116.250000,121.000000,115.500000,118.281250,77.108727,8139800
1999-12-09,120.500000,122.125000,112.250000,113.375000,73.910347,16643000
1999-12-10,111.625000,111.937500,107.562500,109.000000,71.058212,12588800
1999-12-13,108.125000,112.750000,106.562500,109.703125,71.516571,7135200
1999-12-14,110.187500,110.187500,106.875000,109.250000,71.221176,7437900
1999-12-15,107.750000,107.937500,104.500000,107.000000,69.754372,9437900
1999-12-16,108.000000,109.687500,105.750000,109.187500,71.180450,7122300
1999-12-17,110.687500,111.062500,108.625000,110.000000,71.710129,7676800
1999-12-20,109.062500,110.437500,107.750000,109.203125,71.190628,4836300
1999-12-21,108.500000,110.125000,108.062500,110.125000,71.791611,4773500
1999-12-22,109.875000,110.312500,108.000000,108.000000,70.406319,4005600
1999-12-23,109.125000,110.437500,108.187500,108.625000,70.813766,4528700
1999-12-27,109.687500,110.000000,108.125000,109.750000,71.547150,3740700
1999-12-28,109.562500,110.750000,109.062500,109.812500,71.587875,4083100
1999-12-29,110.437500,110.500000,108.750000,109.000000,71.058212,2683300
1999-12-30,109.687500,110.500000,108.562500,108.750000,70.895226,3435100
1999-12-31,109.187500,109.500000,106.625000,107.875000,70.324799,2870300
2000-01-03,112.437500,116.000000,111.875000,116.000000,75.621590,10347700
2000-01-04,114.000000,114.500000,110.875000,112.062500,73.054688,8227800
2000-01-05,112.937500,119.750000,112.125000,116.000000,75.621590,12733200
2000-01-06,118.000000,118.937500,113.500000,114.000000,74.317757,7971900
2000-01-07,117.250000,117.937500,110.625000,113.500000,73.991837,11856700
2000-01-10,117.250000,119.375000,115.375000,118.000000,76.925415,8540500
2000-01-11,117.875000,121.125000,116.625000,119.000000,77.577324,7873300
2000-01-12,119.625000,122.000000,118.250000,119.500000,77.903282,6803800
2000-01-13,119.937500,121.000000,115.750000,118.250000,77.088409,8489700
2000-01-14,120.937500,123.312500,117.500000,119.625000,77.984772,10956600
2000-01-18,119.687500,119.750000,115.000000,115.750000,75.458626,7643900
2000-01-19,115.562500,122.000000,112.687500,119.500000,77.903282,8634500
2000-01-20,123.000000,124.750000,119.000000,119.000000,77.577324,17783400
2000-01-21,121.875000,123.000000,119.937500,121.500000,79.207123,7868700
2000-01-24,121.875000,122.875000,116.562500,121.500000,79.207123,6499200
2000-01-25,116.750000,119.500000,116.000000,119.125000,77.658783,6936900
2000-01-26,119.062500,119.937500,116.000000,116.750000,76.110542,4895100
2000-01-27,118.000000,118.437500,111.625000,113.500000,73.991837,8324600
2000-01-28,112.750000,114.187500,110.062500,111.562500,72.728729,6669400
2000-01-31,111.375000,112.812500,109.625000,112.250000,73.176918,6202700
2000-02-01,112.375000,113.437500,109.125000,110.000000,71.710129,7304700
2000-02-02,112.000000,115.812500,110.375000,113.500000,73.991837,7707700
2000-02-03,115.000000,117.500000,114.062500,117.125000,76.354958,6213800
2000-02-04,118.187500,118.437500,114.812500,115.625000,75.377144,5405300
2000-02-07,116.000000,116.875000,113.125000,114.125000,74.399261,5779500
2000-02-08,116.937500,119.000000,116.187500,118.812500,77.536613,5464300
2000-02-09,119.000000,119.750000,117.000000,117.375000,76.598511,5374700
2000-02-10,117.687500,119.125000,116.875000,119.125000,77.740547,4446600
2000-02-11,119.062500,119.437500,114.562500,115.375000,75.293312,5749400
2000-02-14,116.000000,116.375000,114.500000,116.062500,75.741982,4544000
2000-02-15,115.875000,117.437500,113.875000,117.125000,76.435341,5177500
2000-02-16,116.500000,117.312500,115.250000,115.750000,75.538040,3966900
2000-02-17,116.500000,118.875000,115.750000,116.750000,76.190643,5237500
2000-02-18,115.250000,115.937500,111.500000,112.500000,73.417107,7673400
